Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,Services_500m,Trees_500m
Kensington,4 Coopers La,3,h,785000.0,S,Nelson,2016-09-03,4.2,3031.0,2.0,1.0,1.0,258.0,64.0,,Melbourne City Council,-37.7906,144.924,Northern Metropolitan,5263.0,3.0,2048
Kensington,65 Gatehouse Dr,3,h,852000.0,S,Nelson,2016-09-03,4.2,3031.0,3.0,1.0,1.0,166.0,138.0,2000.0,Melbourne City Council,-37.7929,144.9197,Northern Metropolitan,5263.0,1.0,2799
Kensington,35 Henry St,3,h,1037000.0,S,Rendina,2016-09-03,4.2,3031.0,3.0,1.0,1.0,188.0,106.0,1910.0,Melbourne City Council,-37.7953,144.9275,Northern Metropolitan,5263.0,5.0,2087
Kensington,8 Bent St,2,h,775000.0,S,Jellis,2016-12-03,4.2,3031.0,2.0,1.0,0.0,150.0,,,Melbourne City Council,-37.7963,144.935,Northern Metropolitan,5263.0,2.0,1243
Kensington,14 Hardiman St,3,h,1470000.0,S,Nelson,2017-03-04,4.2,3031.0,3.0,1.0,1.0,199.0,121.0,1910.0,Melbourne City Council,-37.7957,144.932,Northern Metropolitan,5263.0,4.0,1430
Kensington,607/255 Racecourse Rd,2,u,630000.0,S,Nelson,2017-03-04,4.2,3031.0,2.0,2.0,1.0,0.0,,,Melbourne City Council,-37.7886,144.9328,Northern Metropolitan,5263.0,1.0,854
Kensington,5 Rigby La,3,t,845000.0,S,Nelson,2017-03-04,4.2,3031.0,3.0,2.0,1.0,132.0,105.0,,Melbourne City Council,-37.7907,144.9247,Northern Metropolitan,5263.0,3.0,2067
Kensington,403/72 Altona St,2,u,492500.0,S,Pagan,2016-06-04,4.2,3031.0,2.0,1.0,1.0,0.0,81.0,2008.0,Melbourne City Council,-37.7974,144.9261,Northern Metropolitan,5263.0,4.0,1988
Kensington,2/65 Bayswater Rd,2,u,420000.0,VB,Alexkarbon,2016-06-04,4.2,3031.0,2.0,1.0,1.0,0.0,55.0,1970.0,Melbourne City Council,-37.794,144.923,Northern Metropolitan,5263.0,4.0,2959
Kensington,1 Scarborough Pl,2,t,650000.0,S,Nelson,2016-06-04,4.2,3031.0,2.0,1.0,1.0,79.0,,,Melbourne City Council,-37.7914,144.9344,Northern Metropolitan,5263.0,2.0,1014
Kensington,56 Tennyson St,3,h,1050000.0,S,Edward,2016-06-04,4.2,3031.0,3.0,1.0,1.0,274.0,,1900.0,Melbourne City Council,-37.7984,144.929,Northern Metropolitan,5263.0,3.0,1749
Kensington,61 Bangalore St,3,h,1291000.0,SP,Edward,2016-08-06,4.2,3031.0,3.0,1.0,1.0,416.0,,,Melbourne City Council,-37.7946,144.924,Northern Metropolitan,5263.0,4.0,2855
Kensington,1/16 Mawbey St,2,u,420000.0,SP,Nelson,2016-08-06,4.2,3031.0,2.0,1.0,1.0,0.0,80.0,2002.0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan,5263.0,2.0,1761
Kensington,47 Barnett St,3,h,961000.0,S,Jellis,2016-05-07,4.2,3031.0,3.0,1.0,1.0,235.0,,,Melbourne City Council,-37.7925,144.9323,Northern Metropolitan,5263.0,5.0,1376
Kensington,72 Bayswater Rd,3,h,1271000.0,S,Edward,2016-05-07,4.2,3031.0,3.0,1.0,1.0,284.0,113.0,1900.0,Melbourne City Council,-37.7938,144.9228,Northern Metropolitan,5263.0,2.0,2899
Kensington,67 Collett St,3,h,1010000.0,PI,Edward,2016-05-07,4.2,3031.0,3.0,1.0,0.0,234.0,104.0,1900.0,Melbourne City Council,-37.7923,144.9332,Northern Metropolitan,5263.0,2.0,1260
Kensington,4/130 Kensington Rd,2,t,750000.0,S,Rendina,2016-05-07,4.2,3031.0,2.0,1.0,1.0,325.0,112.0,2002.0,Melbourne City Council,-37.7976,144.9213,Northern Metropolitan,5263.0,2.0,2377
Kensington,15 Ormond St,4,h,1675000.0,S,Rendina,2016-05-07,4.2,3031.0,4.0,2.0,2.0,279.0,,,Melbourne City Council,-37.797,144.9303,Northern Metropolitan,5263.0,4.0,1668
Kensington,10 Altona St,2,h,905000.0,S,Edward,2016-10-08,4.2,3031.0,2.0,2.0,1.0,138.0,126.0,1999.0,Melbourne City Council,-37.799,144.9276,Northern Metropolitan,5263.0,3.0,2525
Kensington,70 Hardiman St,2,h,960000.0,S,Nelson,2016-10-08,4.2,3031.0,2.0,1.0,1.0,174.0,72.0,1900.0,Melbourne City Council,-37.7959,144.9343,Northern Metropolitan,5263.0,2.0,1301
Kensington,94 McConnell St,2,h,1031000.0,SP,Woodards,2016-10-08,4.2,3031.0,2.0,1.0,1.0,163.0,99.0,1900.0,Melbourne City Council,-37.7929,144.9287,Northern Metropolitan,5263.0,4.0,2236
Kensington,59 The Crescent,3,t,918000.0,SP,Nelson,2016-10-08,4.2,3031.0,3.0,2.0,1.0,788.0,,1998.0,Melbourne City Council,-37.7938,144.9186,Northern Metropolitan,5263.0,1.0,2992
Kensington,13 Youlden St,3,h,870000.0,S,Greg,2016-10-08,4.2,3031.0,3.0,1.0,1.0,211.0,95.0,1992.0,Melbourne City Council,-37.7891,144.926,Northern Metropolitan,5263.0,4.0,1683
Kensington,41 Barnett St,3,h,1165000.0,S,Nelson,2016-09-10,4.2,3031.0,3.0,1.0,0.0,239.0,135.0,1910.0,Melbourne City Council,-37.7923,144.9324,Northern Metropolitan,5263.0,5.0,1362
Kensington,11 Nottingham St,5,h,1710000.0,PI,Nelson,2016-09-10,4.2,3031.0,5.0,2.0,2.0,566.0,270.0,1890.0,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263.0,1.0,954
Kensington,107/88 Altona St,1,u,360000.0,VB,Dingle,2016-12-10,4.2,3031.0,1.0,1.0,1.0,4267.0,,,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263.0,5.0,2155
Kensington,39 Henry St,3,h,1455000.0,S,Jellis,2016-12-10,4.2,3031.0,3.0,1.0,0.0,275.0,120.0,1900.0,Melbourne City Council,-37.7954,144.9274,Northern Metropolitan,5263.0,5.0,2069
Kensington,114/71 Henry St,1,u,365000.0,VB,Edward,2016-12-10,4.2,3031.0,1.0,1.0,1.0,0.0,47.0,2012.0,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan,5263.0,6.0,2199
Kensington,28/18 Mawbey St,3,u,551000.0,S,Woodards,2016-12-10,4.2,3031.0,3.0,1.0,1.0,4440.0,,,Melbourne City Council,-37.7898,144.9233,Northern Metropolitan,5263.0,2.0,1747
Kensington,118/80 Ormond St,2,u,442000.0,S,Nelson,2016-12-10,4.2,3031.0,2.0,2.0,1.0,3448.0,71.0,2010.0,Melbourne City Council,-37.7976,144.9285,Northern Metropolitan,5263.0,5.0,1712
